"site_id","village","OBJECTID","UID","PRO_ID","TOWN_ID","VILLAGE_ID","V_Name","T_Name","C_Name","KMT_c","DPP_c","PFP_c","KMT_p","DPP_p","PFP_p","v","tax_no","income_total","income_mean","income_median","income_Q1","income_Q3","income_sd","income_cv","household_no","people_total","age_mean","age_SD","age_people_up20"
"臺北市士林區","三玉里",5111,6587,63,6301100,"6301100-033","三玉里","士林區","臺北市",1207,1885,344,35.13,54.86,10.01,6,2202,4737153,2151,784,421,1560,23048.79,1071.39,2166,6156,48.2234526399051,16.9272629877268,5057
"臺北市士林區","仁勇里",5079,6555,63,6301100,"6301100-001","仁勇里","士林區","臺北市",668,1420,235,28.76,61.13,10.12,7,1282,1435202,1120,633,351,1181,4579.38,409.06,1575,4294,48.7030976037405,17.2885940512261,3422
"臺北市士林區","公館里",2968,6598,63,6301100,"6301100-044","公館里","士林區","臺北市",170,549,68,21.6,69.76,8.64,7,408,738616,1810,672,356,1295,5629.67,310.97,541,1460,49.9759807846277,17.7370546039541,1249
"臺北市士林區","天山里",2964,6594,63,6301100,"6301100-040","天山里","士林區","臺北市",1531,2054,367,38.74,51.97,9.29,6,2518,3950207,1569,747,375,1559,7219.26,460.18,2665,7346,49.513304142809,17.4897142893567,5938
"臺北市士林區","天母里",2966,6596,63,6301100,"6301100-042","天母里","士林區","臺北市",1457,2015,414,37.49,51.85,10.65,6,2458,7323380,2979,842,420,1809,17178.28,576.57,2586,7190,49.3253995830438,17.4361015823896,5756
"臺北市士林區","天玉里",2965,6595,63,6301100,"6301100-041","天玉里","士林區","臺北市",1876,2615,490,37.66,52.5,9.84,6,3121,5442544,1744,812,422,1782,4406.34,252.68,3479,9423,49.0092378752887,17.0032536096483,7361
"臺北市士林區","天和里",2963,6593,63,6301100,"6301100-039","天和里","士林區","臺北市",1619,2336,385,37.3,53.82,8.87,6,2795,6619623,2368,807,410,1663,27054.75,1142.33,2767,8065,48.3741995939403,17.0291635902536,6403
"臺北市士林區","天祿里",2961,6591,63,6301100,"6301100-037","天祿里","士林區","臺北市",1018,1747,289,33.33,57.2,9.46,6,1903,2649194,1392,758,420,1439,3516.67,252.61,1981,5583,48.7128647214854,16.9928341587941,4524
"臺北市士林區","天壽里",2962,6592,63,6301100,"6301100-038","天壽里","士林區","臺北市",1070,1558,258,37.08,53.98,8.94,6,1900,4703272,2475,907,451,1900,10126.67,409.09,1948,5342,49.433459178858,16.8190599500874,4238
"臺北市士林區","天福里",2960,6590,63,6301100,"6301100-036","天福里","士林區","臺北市",1352,1920,316,37.68,53.51,8.81,6,2215,2994044,1352,773,399,1479,3899.66,288.5,2339,6695,48.1185673892554,16.7798318257458,5305
"臺北市士林區","平等里",2972,6602,63,6301100,"6301100-048","平等里","士林區","臺北市",139,717,54,15.27,78.79,5.93,8,373,373631,1002,622,371,1026,2686.78,268.22,531,1541,49,17.4136212911472,1298
"臺北市士林區","永倫里",5100,6576,63,6301100,"6301100-022","永倫里","士林區","臺北市",1050,2936,386,24.02,67.15,8.83,7,2333,1885738,808,589,362,1003,773.39,95.68,2738,7732,47.2214943066604,16.5960732928586,6411
"臺北市士林區","永福里",2967,6597,63,6301100,"6301100-043","永福里","士林區","臺北市",191,486,70,25.57,65.06,9.37,7,445,2649061,5953,788,422,1700,28103.68,472.1,467,1334,52.1419807186678,18.3201875481613,1141
"臺北市士林區","名山里",5104,6580,63,6301100,"6301100-026","名山里","士林區","臺北市",1619,2206,453,37.84,51.57,10.59,6,2659,3663017,1378,766,400,1536,2784.98,202.16,2696,7593,48.9475975491777,17.0675289144233,6202
"臺北市士林區","百齡里",5089,6565,63,6301100,"6301100-011","百齡里","士林區","臺北市",1245,2661,416,28.81,61.57,9.63,7,2421,2165184,894,639,382,1115,1416.78,158.42,2565,7725,46.9896373056995,16.3664882991646,6176
"臺北市士林區","岩山里",5103,6579,63,6301100,"6301100-025","岩山里","士林區","臺北市",784,1015,211,39,50.5,10.5,6,1203,1887920,1569,679,379,1393,6951.98,442.99,1291,3661,48.8994082840237,16.9399218702465,3042
"臺北市士林區","忠誠里",5108,6584,63,6301100,"6301100-030","忠誠里","士林區","臺北市",1620,1342,358,48.8,40.42,10.78,1,2088,5319205,2548,760,391,1501,33819.1,1327.53,2186,5958,50.0967479674797,17.3914867266285,4920
"臺北市士林區","承德里",5090,6566,63,6301100,"6301100-012","承德里","士林區","臺北市",1179,1811,325,35.57,54.63,9.8,6,2087,2522477,1209,738,403,1369,1972.23,163.18,2392,5957,48.617671009772,16.9791378155715,4912
"臺北市士林區","明勝里",5092,6568,63,6301100,"6301100-014","明勝里","士林區","臺北市",851,1784,291,29.08,60.97,9.95,7,1715,1747371,1019,655,374,1191,2503.43,245.71,1956,5202,48.6757884972171,17.1861652109063,4312
"臺北市士林區","東山里",5110,6586,63,6301100,"6301100-032","東山里","士林區","臺北市",1257,1393,331,42.17,46.73,11.1,5,1719,3396999,1976,759,408,1521,13183.26,667.12,1803,5471,48.5283961835529,17.3044795858916,4402
"臺北市士林區","社子里",5097,6573,63,6301100,"6301100-019","社子里","士林區","臺北市",911,2510,414,23.75,65.45,10.8,7,1948,1712728,879,621,373,1053,1197.68,136.22,2428,6840,47.4328088261892,16.6276625633944,5529
"臺北市士林區","社園里",5099,6575,63,6301100,"6301100-021","社園里","士林區","臺北市",913,3020,393,21.1,69.81,9.08,7,2163,1775584,821,600,372,1022,866.38,105.54,2643,7841,46.6253196930946,16.3539208509637,6256
"臺北市士林區","社新里",5098,6574,63,6301100,"6301100-020","社新里","士林區","臺北市",1262,3516,496,23.93,66.67,9.4,7,2637,2108219,799,579,356,1008,776.97,97.19,3435,9589,47.2978448832107,16.3678618262319,7749
"臺北市士林區","芝山里",5109,6585,63,6301100,"6301100-031","芝山里","士林區","臺北市",1547,2366,476,35.25,53.91,10.85,6,2731,6019426,2204,802,409,1630,19453.42,882.6,2814,7996,47.6260439220538,16.7423007876461,6466
"臺北市士林區","前港里",5088,6564,63,6301100,"6301100-010","前港里","士林區","臺北市",727,1631,308,27.27,61.18,11.55,7,1519,1808133,1190,674,373,1302,5209.74,437.67,1745,4886,46.9934844930936,16.2387134245844,3837
"臺北市士林區","後港里",5086,6562,63,6301100,"6301100-008","後港里","士林區","臺北市",1324,2909,443,28.31,62.21,9.47,7,2793,2868645,1027,656,365,1216,1530.93,149.06,3092,8633,47.5007070135747,16.8113787135756,7072
"臺北市士林區","富光里",5094,6570,63,6301100,"6301100-016","富光里","士林區","臺北市",810,2227,339,23.99,65.97,10.04,7,1709,1382410,809,568,356,963,1859.15,229.84,2161,6278,47.5140554354236,16.7174200724215,5087
"臺北市士林區","富洲里",5102,6578,63,6301100,"6301100-024","富洲里","士林區","臺北市",596,2645,266,16.99,75.42,7.58,8,1493,1132881,759,545,346,911,855.01,112.68,2355,6028,46.7579936051159,16.679311332005,5004
"臺北市士林區","菁山里",2971,6601,63,6301100,"6301100-047","菁山里","士林區","臺北市",289,565,96,30.42,59.47,10.11,6,437,2667376,6104,646,388,1076,71691.65,1174.53,585,1722,49.1090277777778,17.0489060140821,1440
"臺北市士林區","陽明里",2970,6600,63,6301100,"6301100-046","陽明里","士林區","臺北市",618,967,173,35.15,55.01,9.84,6,987,2202526,2232,745,398,1502,7795.34,349.33,1409,3128,51.8865942028986,18.229847956483,2760
"臺北市士林區","新安里",2969,6599,63,6301100,"6301100-045","新安里","士林區","臺北市",335,780,86,27.89,64.95,7.16,7,697,4031935,5785,644,340,1430,61689.87,1066.43,776,2080,51.6274620146314,18.2295032540066,1777
"臺北市士林區","溪山里",2973,6603,63,6301100,"6301100-049","溪山里","士林區","臺北市",195,548,76,23.81,66.91,9.28,7,349,474377,1359,581,348,1011,7726.14,568.41,556,1515,50.3629222309505,17.2142437671683,1273
"臺北市士林區","義信里",5080,6556,63,6301100,"6301100-002","義信里","士林區","臺北市",605,1003,170,34.03,56.41,9.56,6,1042,1684201,1616,700,383,1302,11782.53,728.97,1318,3389,48.5011127596439,17.0614833004524,2696
"臺北市士林區","聖山里",5107,6583,63,6301100,"6301100-029","聖山里","士林區","臺北市",1298,1467,298,42.38,47.89,9.73,5,1818,2684186,1476,796,439,1548,4497.77,304.63,1949,5345,49.0231439046746,17.1228821772855,4364
"臺北市士林區","葫東里",5096,6572,63,6301100,"6301100-018","葫東里","士林區","臺北市",595,1620,222,24.42,66.48,9.11,7,1282,1070145,835,609,350,1005,939.65,112.57,1583,4339,47.4828555368184,16.7169207578896,3558
"臺北市士林區","葫蘆里",5095,6571,63,6301100,"6301100-017","葫蘆里","士林區","臺北市",1386,2762,400,30.47,60.73,8.8,7,2358,1984960,842,620,356,1051,1052.96,125.08,2823,8230,47.6350387126158,16.7480577787433,6587
"臺北市士林區","福中里",5087,6563,63,6301100,"6301100-009","福中里","士林區","臺北市",1062,2569,401,26.34,63.72,9.95,7,2293,2260226,986,664,386,1209,1214.19,123.18,2612,7475,46.5500514226946,15.9316433022677,5834
"臺北市士林區","福安里",5101,6577,63,6301100,"6301100-023","福安里","士林區","臺北市",374,2356,200,12.76,80.41,6.83,8,1175,891405,759,537,344,880,912.62,120.3,1848,5057,47.0009610764056,16.6156049183708,4162
