里名,國民黨代號,國民黨得票數,民進黨代號,民進黨得票數,親民黨代號,親民黨得票數,
臺北市松山區莊敬里,1,1254,2,1480,3,378,
臺北市松山區東榮里,1,1790,2,2369,3,377,
臺北市松山區三民里,1,1637,2,1863,3,384,
臺北市松山區新益里,1,1043,2,1530,3,262,
臺北市松山區富錦里,1,1239,2,1434,3,282,
臺北市松山區新東里,1,1104,2,1486,3,278,
臺北市松山區富泰里,1,1184,2,1130,3,285,
臺北市松山區介壽里,1,909,2,1360,3,239,
臺北市松山區精忠里,1,1022,2,1163,3,246,
臺北市松山區東光里,1,1782,2,1968,3,421,
臺北市松山區龍田里,1,2948,2,1964,3,567,
臺北市松山區東昌里,1,560,2,843,3,139,
臺北市松山區東勢里,1,927,2,1303,3,236,
臺北市松山區中華里,1,1472,2,1690,3,368,
臺北市松山區民有里,1,1896,2,2704,3,485,
臺北市松山區民福里,1,1709,2,1698,3,463,
臺北市松山區慈祐里,1,1160,2,2263,3,473,
臺北市松山區安平里,1,1709,2,2732,3,496,
臺北市松山區鵬程里,1,1499,2,1326,3,389,
臺北市松山區自強里,1,3413,2,1501,3,684,
臺北市松山區吉祥里,1,1913,2,2357,3,528,
臺北市松山區新聚里,1,1683,2,2449,3,489,
臺北市松山區復盛里,1,1586,2,1827,3,417,
臺北市松山區中正里,1,1719,2,2845,3,531,
臺北市松山區中崙里,1,879,2,1190,3,239,
臺北市松山區美仁里,1,724,2,1076,3,187,
臺北市松山區吉仁里,1,854,2,1121,3,251,
臺北市松山區敦化里,1,1466,2,2141,3,418,
臺北市松山區復源里,1,732,2,889,3,213,
臺北市松山區復建里,1,1008,2,1188,3,297,
臺北市松山區復勢里,1,1234,2,1960,3,365,
臺北市松山區福成里,1,550,2,827,3,144,
臺北市松山區松基里,1,748,2,1135,3,179,
臺北市信義區西村里,1,1552,2,879,3,296,
臺北市信義區正和里,1,1246,2,1117,3,315,
臺北市信義區興隆里,1,694,2,647,3,179,
臺北市信義區中興里,1,778,2,883,3,196,
臺北市信義區新仁里,1,890,2,836,3,227,
臺北市信義區興雅里,1,1310,2,1698,3,337,
臺北市信義區敦厚里,1,1187,2,1443,3,319,
臺北市信義區廣居里,1,1870,2,2184,3,435,
臺北市信義區安康里,1,2263,2,2666,3,551,
臺北市信義區六藝里,1,755,2,1186,3,245,
臺北市信義區雅祥里,1,999,2,1579,3,288,
臺北市信義區五常里,1,821,2,1111,3,245,
臺北市信義區五全里,1,1047,2,1786,3,299,
臺北市信義區永吉里,1,609,2,1508,3,240,
臺北市信義區長春里,1,848,2,1332,3,292,
臺北市信義區四育里,1,1131,2,1952,3,346,
臺北市信義區四維里,1,1265,2,1591,3,302,
臺北市信義區永春里,1,990,2,1619,3,283,
臺北市信義區富台里,1,1204,2,926,3,296,
臺北市信義區國業里,1,1639,2,2029,3,475,
臺北市信義區松隆里,1,462,2,628,3,168,
臺北市信義區松友里,1,1495,2,1837,3,454,
臺北市信義區松光里,1,1049,2,1534,3,317,
臺北市信義區中坡里,1,1013,2,1368,3,282,
臺北市信義區中行里,1,1541,2,2620,3,544,
臺北市信義區大道里,1,1336,2,2050,3,378,
臺北市信義區大仁里,1,940,2,1275,3,225,
臺北市信義區景新里,1,1295,2,1284,3,304,
臺北市信義區惠安里,1,1767,2,1634,3,442,
臺北市信義區三張里,1,2331,2,2337,3,577,
臺北市信義區三犁里,1,1328,2,1338,3,329,
臺北市信義區六合里,1,1835,2,1609,3,439,
臺北市信義區泰和里,1,1798,2,2070,3,518,
臺北市信義區景聯里,1,1136,2,1355,3,304,
臺北市信義區景勤里,1,1055,2,1089,3,253,
臺北市信義區雙和里,1,1822,2,1916,3,492,
臺北市信義區嘉興里,1,715,2,983,3,189,
臺北市信義區黎順里,1,1025,2,1136,3,228,
臺北市信義區黎平里,1,1704,2,1934,3,505,
臺北市信義區黎忠里,1,1154,2,1402,3,318,
臺北市信義區黎安里,1,734,2,446,3,117,
臺北市大安區德安里,1,1378,2,1332,3,290,
臺北市大安區仁慈里,1,1155,2,1482,3,266,
臺北市大安區和安里,1,1600,2,1674,3,374,
臺北市大安區民炤里,1,1684,2,2249,3,400,
臺北市大安區仁愛里,1,1199,2,1291,3,243,
臺北市大安區義村里,1,1777,2,1248,3,380,
臺北市大安區民輝里,1,1483,2,1939,3,412,
臺北市大安區昌隆里,1,685,2,940,3,147,
臺北市大安區誠安里,1,966,2,1206,3,220,
臺北市大安區光武里,1,1693,2,1979,3,458,
臺北市大安區龍坡里,1,1364,2,1463,3,354,
臺北市大安區龍泉里,1,1021,2,1354,3,268,
臺北市大安區古風里,1,974,2,1186,3,237,
臺北市大安區古莊里,1,1565,2,1922,3,392,
臺北市大安區龍安里,1,1411,2,1725,3,351,
臺北市大安區錦安里,1,1343,2,1486,3,320,
臺北市大安區福住里,1,1317,2,1609,3,366,
臺北市大安區永康里,1,812,2,936,3,235,
臺北市大安區光明里,1,741,2,953,3,191,
臺北市大安區錦泰里,1,852,2,860,3,160,
臺北市大安區錦華里,1,1369,2,1451,3,261,
臺北市大安區龍圖里,1,1681,2,1692,3,360,
臺北市大安區新龍里,1,1968,2,1375,3,411,
臺北市大安區龍陣里,1,866,2,1013,3,196,
臺北市大安區龍雲里,1,1155,2,1338,3,235,
臺北市大安區龍生里,1,1627,2,1648,3,342,
臺北市大安區住安里,1,1218,2,1330,3,308,
臺北市大安區義安里,1,1331,2,1260,3,292,
臺北市大安區通化里,1,1222,2,1899,3,405,
臺北市大安區通安里,1,1284,2,1610,3,371,
臺北市大安區臨江里,1,934,2,1253,3,266,
臺北市大安區法治里,1,1134,2,1092,3,279,
臺北市大安區全安里,1,1103,2,1115,3,223,
臺北市大安區群賢里,1,1566,2,1455,3,320,
臺北市大安區群英里,1,2380,2,1283,3,426,
臺北市大安區虎嘯里,1,949,2,957,3,229,
臺北市大安區臥龍里,1,504,2,437,3,137,
臺北市大安區龍淵里,1,2055,2,2532,3,526,
臺北市大安區龍門里,1,1003,2,1174,3,198,
臺北市大安區大學里,1,2025,2,2276,3,495,
臺北市大安區芳和里,1,1431,2,1493,3,345,
臺北市大安區黎元里,1,1156,2,1613,3,380,
臺北市大安區黎孝里,1,1920,2,2137,3,525,
臺北市大安區黎和里,1,1267,2,1224,3,312,
臺北市大安區建安里,1,1179,2,1189,3,273,
臺北市大安區建倫里,1,1463,2,1503,3,313,
臺北市大安區敦安里,1,1319,2,1688,3,281,
臺北市大安區正聲里,1,1171,2,1210,3,234,
臺北市大安區敦煌里,1,1400,2,1633,3,324,
臺北市大安區華聲里,1,1017,2,1107,3,227,
臺北市大安區車層里,1,1426,2,1731,3,287,
臺北市大安區光信里,1,1804,2,2082,3,430,
臺北市大安區學府里,1,790,2,644,3,167,
臺北市中山區正守里,1,619,2,1027,3,197,
臺北市中山區正義里,1,960,2,1436,3,348,
臺北市中山區正得里,1,739,2,1098,3,218,
臺北市中山區民安里,1,816,2,1585,3,278,
臺北市中山區康樂里,1,540,2,715,3,165,
臺北市中山區中山里,1,1237,2,2047,3,386,
臺北市中山區聚盛里,1,802,2,1199,3,285,
臺北市中山區集英里,1,1140,2,2372,3,442,
臺北市中山區聚葉里,1,704,2,1202,3,254,
臺北市中山區恆安里,1,888,2,1395,3,258,
臺北市中山區晴光里,1,1000,2,1505,3,337,
臺北市中山區圓山里,1,751,2,1363,3,253,
臺北市中山區劍潭里,1,1382,2,521,3,271,
臺北市中山區大直里,1,2274,2,2641,3,573,
臺北市中山區成功里,1,1285,2,1815,3,330,
臺北市中山區永安里,1,1984,2,2722,3,517,
臺北市中山區大佳里,1,117,2,457,3,56,
臺北市中山區新喜里,1,894,2,1874,3,351,
臺北市中山區新庄里,1,920,2,1693,3,328,
臺北市中山區新福里,1,785,2,1898,3,293,
臺北市中山區松江里,1,1231,2,2268,3,380,
臺北市中山區新生里,1,872,2,1790,3,294,
臺北市中山區中庄里,1,918,2,1792,3,337,
臺北市中山區行政里,1,1135,2,1960,3,382,
臺北市中山區行仁里,1,1388,2,2901,3,498,
臺北市中山區行孝里,1,663,2,1458,3,235,
臺北市中山區下埤里,1,1454,2,2643,3,461,
臺北市中山區江寧里,1,1461,2,2172,3,377,
臺北市中山區江山里,1,1404,2,2643,3,407,
臺北市中山區中吉里,1,911,2,2011,3,312,
臺北市中山區中原里,1,945,2,1757,3,274,
臺北市中山區興亞里,1,983,2,1776,3,324,
臺北市中山區中央里,1,708,2,1133,3,225,
臺北市中山區朱馥里,1,1189,2,1777,3,346,
臺北市中山區龍洲里,1,1697,2,1007,3,364,
臺北市中山區朱園里,1,780,2,1495,3,260,
